site,treatment,plot_id,functional_group,family,taxon,name_2020,note_taxonomy
ACJ,B,1,Woody,Asteraceae,Baccharis sp,Baccharis tricuneata,NA
ACJ,B,1,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,B,1,Forb,Rubiaceae,Galium hypocarpium,Galium corymbosum,NA
ACJ,B,1,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria vaccinioides,NA
ACJ,B,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana sedifolia,NA
ACJ,B,1,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,1,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
ACJ,B,1,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,B,1,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,B,1,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,B,1,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,1,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum bonplandianum,NA
ACJ,B,1,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
ACJ,B,1,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,B,1,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,1,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,1,Gramminoid,Poaceae,Agrostis spnorwegian,Agrostis mertensii,NA
ACJ,B,2,Forb,Rosaceae,Alchemilla vulcanica,Lachemilla jamesonii,NA
ACJ,B,2,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,B,2,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,B,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,2,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,2,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
ACJ,B,2,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,B,2,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,2,Forb,Bromeliaceae,Puya leptostachya,Puya leptostachya,NA
ACJ,B,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,2,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
ACJ,B,2,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum bonplandianum,NA
ACJ,B,2,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,2,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,2,Gramminoid,Cyperaceae,Scirpus sp,Oreobolus venezuelensis,NA
ACJ,B,2,Gramminoid,Juncaceae,Luzula sp,Luzula racemosa,NA
ACJ,B,3,Gramminoid,Poaceae,Agrostis spnorwegian,Agrostis mertensii,NA
ACJ,B,2,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
ACJ,B,3,Forb,Rosaceae,Alchemilla sp,Lachemilla cf vulcanica,NA
ACJ,B,3,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
ACJ,B,3,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,B,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,3,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,3,Fern,Pteridaceae,Jamesonia alstonii,Eriosorus cheilanthoides,before Jamesonia blepharum modified
ACJ,B,3,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,B,3,Forb,Violaceae,Lysipomia laciniata,Viola pygmaea,NA
ACJ,B,3,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,B,3,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum bonplandianum,NA
ACJ,B,3,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,3,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,3,Gramminoid,Poaceae,Bromus sp,Festuca dolichophylla,"before Festuca procera, modified by Lucely"
ACJ,B,3,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
ACJ,B,3,Gramminoid,Poaceae,Cortaderia bifida,Cortaderia bifida,NA
ACJ,B,3,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,3,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,4,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
ACJ,B,4,Woody,Melastomataceae,Brachyotum sp,Brachyotum grisebachii,NA
ACJ,B,4,Forb,Rubiaceae,Galium hypocarpium,Galium corymbosum,NA
ACJ,B,4,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,4,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,4,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,4,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,4,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
ACJ,B,4,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
ACJ,B,4,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,B,4,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
ACJ,B,4,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,4,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,5,Forb,Rosaceae,Alchemilla sp,Lachemilla cf vulcanica,NA
ACJ,B,5,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum huacsaro,NA
ACJ,B,5,Forb,Rubiaceae,Galium hypocarpium,Galium corymbosum,NA
ACJ,B,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,5,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,5,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,B,5,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,B,5,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,5,Forb,Bromeliaceae,Puya leptostachya,Puya leptostachya,NA
ACJ,B,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,5,Gramminoid,Poaceae,Agrostis sp2,Calamagrostis cf. amoena,NA
ACJ,B,5,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
ACJ,B,5,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,5,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,5,Gramminoid,Juncaceae,Luzula sp,Luzula racemosa,NA
ACJ,B,5,Gramminoid,Poaceae,Agrostis sp4,Agrostis mertensii,NA
ACJ,B,5,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
ACJ,C,1,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
ACJ,C,1,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,C,1,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum amphioxys,NA
ACJ,C,1,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,C,1,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,C,1,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,C,1,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria vaccinioides,NA
ACJ,C,1,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,C,1,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,C,1,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,C,1,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
ACJ,C,1,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,C,1,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
ACJ,C,1,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,C,1,Gramminoid,Poaceae,Bromus sp,Festuca dolichophylla,"before Festuca procera, modified by Lucely"
ACJ,C,1,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,C,1,Gramminoid,Poaceae,Cortaderia bifida,Cortaderia hapalotricha,NA
ACJ,C,2,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,C,2,Gramminoid,Poaceae,Cortaderia bifida,Cortaderia bifida,NA
ACJ,C,2,Fern,Dryopteridaceae,Elaphoglossum sp1,Elaphoglossum amphioxys,NA
ACJ,C,2,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,C,2,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
ACJ,C,2,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
ACJ,C,2,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,C,2,Forb,Orchidaceae,Orchidaceae,Pterichis sp1,NA
ACJ,C,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,C,2,Gramminoid,Cyperaceae,Juncus sp,Carex sp8,NA
ACJ,C,2,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,C,2,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
ACJ,C,3,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
ACJ,C,3,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,C,3,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum huacsaro,NA
ACJ,C,3,Fern,Dryopteridaceae,Elaphoglossum amphioxys,Elaphoglossum amphioxys,NA
ACJ,C,3,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,C,3,Forb,Rubiaceae,Galium hypocarpium,Galium corymbosum,NA
ACJ,C,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,C,3,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
ACJ,C,3,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,C,3,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,C,3,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
ACJ,C,3,Gramminoid,Poaceae,Bromus lanatus,Bromus lanatus,NA
ACJ,C,3,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,C,3,Gramminoid,Poaceae,Cortaderia bifida,Cortaderia bifida,NA
ACJ,C,3,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,C,3,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,C,3,Gramminoid,Poaceae,Calamagrostis sp3,Calamagrostis tarmensis,NA
ACJ,C,3,Gramminoid,Poaceae,Agrostis sp4,Agrostis mertensii,NA
ACJ,C,4,Forb,Rosaceae,Alchemilla vulcanica,Lachemilla orbiculata,NA
ACJ,C,4,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,C,4,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum huacsaro,NA
ACJ,C,4,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,C,4,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,C,4,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
ACJ,C,4,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,C,4,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,C,4,Gramminoid,Poaceae,Bromus sp,Festuca dolichophylla,"before Festuca procera, modified by Lucely"
ACJ,C,4,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,C,4,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,C,4,Gramminoid,Poaceae,Calamagrostis sp3,Calamagrostis cf. amoena,NA
ACJ,C,5,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
ACJ,C,5,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,C,5,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum huacsaro,NA
ACJ,C,5,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,C,5,Forb,Euphobiaceae,Euphorbia thymifolia,Euphorbia huanchahana,NA
ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,C,5,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,C,5,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,C,5,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,C,5,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,C,5,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,C,5,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
ACJ,C,5,Gramminoid,Poaceae,Bromus sp,Festuca dolichophylla,"before Festuca procera, modified by Lucely"
ACJ,C,5,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,C,5,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,C,5,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,C,5,Gramminoid,Poaceae,Cortaderia bifida,Cortaderia bifida,NA
WAY,B,1,Woody,Asteraceae,Baccharis sp,Baccharis tricuneata,NA
WAY,B,1,Woody,Melastomataceae,Brocholum sp,Brachyotum grisebachii,NA
WAY,B,1,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
WAY,B,1,Forb,Rubiaceae,Galium hypocarpium,Galium corymbosum,NA
WAY,B,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria vaccinioides,NA
WAY,B,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana sedifolia,NA
WAY,B,1,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
WAY,B,1,Fern,Lycopodiaceae,Lycopodiella cernua,Lycopodium thyoides,NA
WAY,B,1,Forb,Rubiaceae,Nertera granadensis,Nertera granadensis,NA
WAY,B,1,Forb,Orchidaceae,Orchidaceae,Cyrtochilum mystacinum,NA
WAY,B,1,Moss,Polytrichaceae,Polytrichum sp,Polytrichum sp1,NA
WAY,B,1,Forb,Orchidaceae,Pterichis silvestris,Pterichis sp1,NA
WAY,B,1,Forb,Asteraceae,Senecio sp,Senecio burkartii,NA
WAY,B,1,Forb,Iridaceae,Sisyrinchium sp,Sisyrinchium vaginatum,NA
WAY,B,1,Forb,Asteraceae,Stevia cuzcoensis,Stevia pennellii,NA
WAY,B,1,Forb,Asteraceae,Stevia sp,Stevia pennellii,NA
WAY,B,1,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
WAY,B,1,Gramminoid,Cyperaceae,Calamagrostis sp3,Carex cf. crinalis,NA
WAY,B,1,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora aristata,NA
WAY,B,1,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis rigida,NA
WAY,B,1,Gramminoid,Poaceae,Calamagrostis sp5,Danthonia secundiflora,NA
WAY,B,2,Forb,Asteraceae,Antennaria linearifolia,Gnaphalium dombeyanum,"Before Antennaria linearifolia, changed by Lucely"
WAY,B,2,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
WAY,B,2,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
WAY,B,2,Fern,Lycopodiaceae,Lycopodiella cernua,Lycopodium thyoides,NA
WAY,B,2,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
WAY,B,2,Forb,Rubiaceae,Nertera granadensis,Nertera granadensis,NA
WAY,B,2,Forb,Orchidaceae,Pterichis silvestris,Pterichis sp1,NA
WAY,B,2,Forb,Asteraceae,Senecio sp,Senecio burkartii,NA
WAY,B,2,Forb,Asteraceae,Stevia cuzcoensis,Stevia pennellii,NA
WAY,B,2,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
WAY,B,2,Gramminoid,Cyperaceae,Carex sp1,Carex cf. crinalis,NA
WAY,B,2,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis rigida,NA
WAY,B,3,Forb,Rosaceae,Alchemilla orbiculata,Lachemilla orbiculata,NA
WAY,B,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
WAY,B,3,Forb,Asteraceae,Gnaphalium dombeyanum,Gnaphalium dombeyanum,NA
WAY,B,3,Fern,Lycopodiaceae,Lycopodiella cernua,Lycopodium thyoides,NA
WAY,B,3,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
WAY,B,3,Forb,Orchidaceae,Pterichis silvestris,Pterichis sp1,NA
WAY,B,3,Fern,Dennstaedtiaceae,Pteridium aquilinum,Pteridium aquilinum,NA
WAY,B,3,Forb,Asteraceae,Senecio sp,Senecio burkartii,NA
WAY,B,3,Forb,Asteraceae,Stevia sp,Stevia pennellii,NA
WAY,B,3,Gramminoid,Cyperaceae,Carex splong,Carex bonplandii,NA
WAY,B,3,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
WAY,B,3,Gramminoid,Cyperaceae,Rhynchospora aristata,Rhynchospora aristata,NA
WAY,B,3,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
WAY,B,3,Gramminoid,Poaceae,Calamagrostis sp5,Danthonia secundiflora,NA
WAY,B,3,Gramminoid,Poaceae,Calamagrostis sp3,Calamagrostis cf. amoena,NA
WAY,B,4,Forb,Asteraceae,Antennaria linearifolia,Gnaphalium dombeyanum,"Before Antennaria linearifolia, changed by Lucely"
WAY,B,4,Fern,Lycopodiaceae,Lycopodiella cernua,Lycopodium thyoides,NA
WAY,B,4,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
WAY,B,4,Forb,Rubiaceae,Nertera granadensis,Nertera granadensis,NA
WAY,B,4,Forb,Asteraceae,Senecio sp,Senecio burkartii,NA
WAY,B,4,Forb,Asteraceae,Stevia cuzcoensis,Stevia pennellii,NA
WAY,B,4,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
WAY,B,4,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
WAY,B,4,Gramminoid,Cyperaceae,Carex sp1,Carex bonplandii,NA
WAY,B,4,Gramminoid,Cyperaceae,Rhynchospora aristata,Rhynchospora aristata,NA
WAY,B,4,Gramminoid,Cyperaceae,Carex splong,Carex cf. crinalis,NA
WAY,B,4,Gramminoid,Poaceae,Calamagrostis sp2long,Calamagrostis rigida,NA
WAY,B,5,Forb,Alstroemeriaceae,Bomarea dulcis,Bomarea brevis,NA
WAY,B,5,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
WAY,B,5,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
WAY,B,5,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris taraxacoides,NA
WAY,B,5,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium thyoides,NA
WAY,B,5,Fern,Dennstaedtiaceae,Pteridium aquilinum,Pteridium aquilinum,NA
WAY,B,5,Forb,Asteraceae,Stevia sp,Stevia pennellii,NA
WAY,B,5,Forb,Iridaceae,Sisyrinchium sp,Sisyrinchium vaginatum,NA
WAY,B,5,Forb,Asteraceae,Stevia cuzcoensis,Stevia pennellii,NA
WAY,B,5,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
WAY,B,5,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
WAY,B,5,Gramminoid,Cyperaceae,Rhynchospora aristata,Rhynchospora aristata,NA
WAY,B,5,Gramminoid,Cyperaceae,Carex boliviensis,Carex boliviensis,NA
WAY,B,5,Gramminoid,Poaceae,Calamagrostis sp2long,Calamagrostis tarmensis,NA
WAY,B,5,Gramminoid,Poaceae,Calamagrostis sp3,Calamagrostis cf. amoena,NA
WAY,C,1,Forb,Rosaceae,Alchemilla orbiculata,Lachemilla orbiculata,NA
WAY,C,1,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
WAY,C,1,Forb,Asteraceae,Gnaphalium dombeyanum,Gnaphalium dombeyanum,NA
WAY,C,1,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
WAY,C,1,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
WAY,C,1,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris taraxacoides,NA
WAY,C,1,Fern,Lycopodiaceae,Lycopodiella cernua,Lycopodium thyoides,NA
WAY,C,1,Forb,Rubiaceae,Nertera granadensis,Nertera granadensis,NA
WAY,C,1,Forb,Asteraceae,Stevia cuzcoensis,Stevia pennellii,NA
WAY,C,1,Forb,Asteraceae,Werneria nubigena,Werneria nubigena,NA
WAY,C,1,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
WAY,C,1,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
WAY,C,1,Gramminoid,Cyperaceae,Carex boliviensis,Carex boliviensis,NA
WAY,C,1,Gramminoid,Poaceae,Calamagrostis sp3,Calamagrostis cf. amoena,NA
WAY,C,1,Gramminoid,Poaceae,Calamagrostis sp4,Danthonia secundiflora,NA
